Date,Open,High,Low,Close,Adj Close,Volume
2020-04-01,1294.900024,1294.900024,1158.000000,1181.650024,1180.353027,10838462
2020-04-03,1181.650024,1183.000000,1087.000000,1140.849976,1139.597656,10111471
2020-04-07,1221.000000,1229.050049,1171.000000,1198.050049,1196.734985,8552570
2020-04-08,1184.800049,1242.550049,1160.349976,1187.650024,1186.346313,7405087
2020-04-09,1215.000000,1281.199951,1190.099976,1272.900024,1271.502686,8097402
2020-04-13,1250.000000,1257.150024,1216.000000,1250.900024,1249.526978,4250536
2020-04-15,1265.849976,1270.949951,1153.300049,1173.750000,1172.461670,9045676
2020-04-16,1164.949951,1164.949951,1114.449951,1130.849976,1129.608643,11055205
2020-04-17,1187.349976,1197.949951,1135.000000,1186.250000,1184.947876,8585395
2020-04-20,1220.000000,1224.500000,1172.250000,1177.750000,1176.457153,6560180
2020-04-21,1150.000000,1155.000000,1125.000000,1130.150024,1128.909546,4799796
2020-04-22,1127.050049,1166.750000,1108.199951,1152.150024,1150.885254,6963692
2020-04-23,1172.000000,1255.000000,1158.099976,1249.650024,1248.278320,10558247
2020-04-24,1219.000000,1258.000000,1213.349976,1239.550049,1238.189453,6784235
2020-04-27,1251.900024,1324.900024,1251.900024,1303.599976,1302.169067,7771412
2020-04-28,1310.099976,1336.500000,1310.099976,1326.650024,1325.193848,6678388
2020-04-29,1327.000000,1352.000000,1315.199951,1327.849976,1326.392456,6703229
2020-04-30,1340.000000,1380.000000,1334.050049,1357.199951,1355.710205,6272522
2020-05-04,1295.000000,1305.900024,1263.699951,1277.800049,1276.397461,5096439
2020-05-05,1297.000000,1302.900024,1225.000000,1238.349976,1236.990723,5004841
2020-05-06,1231.000000,1277.400024,1214.250000,1245.949951,1244.582275,4604274
2020-05-07,1230.500000,1240.000000,1184.250000,1199.800049,1198.483032,6843272
2020-05-08,1222.000000,1242.949951,1211.050049,1217.449951,1216.113647,3511204
2020-05-11,1240.550049,1252.300049,1185.000000,1188.449951,1187.145386,4674081
2020-05-12,1178.000000,1178.000000,1137.000000,1157.199951,1155.929688,10268550
2020-05-13,1215.050049,1220.000000,1172.699951,1186.699951,1185.397339,11914924
2020-05-14,1178.900024,1214.000000,1167.150024,1173.099976,1171.812256,7099970
2020-05-15,1179.849976,1189.900024,1154.199951,1178.300049,1177.006592,3863980
2020-05-18,1175.000000,1176.000000,1110.000000,1113.650024,1112.427612,6397416
2020-05-19,1150.000000,1169.900024,1125.300049,1130.449951,1129.209106,6382921
2020-05-20,1130.000000,1178.000000,1115.000000,1160.099976,1158.826538,5254388
2020-05-21,1165.000000,1189.550049,1144.599976,1150.250000,1148.987427,5977128
2020-05-22,1140.000000,1167.199951,1116.500000,1160.199951,1158.926514,5189748
2020-05-26,1160.000000,1175.000000,1144.550049,1153.199951,1151.934082,5470797
2020-05-27,1163.949951,1243.000000,1161.000000,1217.550049,1216.213623,11745366
2020-05-28,1224.000000,1254.900024,1209.599976,1229.449951,1228.100342,10710003
2020-05-29,1216.500000,1229.800049,1200.050049,1224.000000,1222.656372,5497352
2020-06-01,1249.000000,1279.199951,1238.000000,1248.400024,1247.029663,6943576
2020-06-02,1323.000000,1353.250000,1298.050049,1342.900024,1341.426025,17320030
2020-06-03,1364.000000,1428.199951,1342.199951,1386.550049,1385.027954,12344415
2020-06-04,1380.050049,1380.050049,1330.349976,1334.400024,1332.935181,6004144
2020-06-05,1344.000000,1358.000000,1321.000000,1337.800049,1336.331665,5688117
2020-06-08,1355.000000,1365.000000,1315.500000,1336.750000,1335.282715,5302297
2020-06-09,1341.949951,1360.000000,1299.099976,1304.150024,1302.718384,5477333
2020-06-10,1304.500000,1344.300049,1303.599976,1332.250000,1330.787598,4876360
2020-06-11,1334.000000,1334.400024,1289.199951,1298.699951,1297.274414,4376813
2020-06-12,1240.000000,1289.699951,1231.599976,1279.800049,1278.395142,8992424
2020-06-15,1270.000000,1271.150024,1237.199951,1248.900024,1247.529175,7553579
2020-06-16,1276.000000,1295.800049,1238.099976,1276.800049,1275.398560,5266292
2020-06-17,1269.449951,1284.949951,1236.599976,1243.800049,1242.434814,5429264
2020-06-18,1240.000000,1309.900024,1228.349976,1303.349976,1301.919312,6672522
2020-06-19,1304.000000,1315.750000,1276.349976,1302.500000,1301.070313,8492615
