Date,Open,High,Low,Close,Adj Close,Volume
2020-04-01,376.250000,379.799988,354.000000,358.649994,358.104889,27744593
2020-04-03,360.200012,362.299988,324.000000,325.450012,324.955383,41317365
2020-04-07,347.399994,405.750000,342.350006,388.850006,388.259003,48093237
2020-04-08,383.750000,427.700012,373.500000,391.350006,390.755219,64930598
2020-04-09,405.000000,423.000000,398.649994,420.149994,419.511414,44090546
2020-04-13,417.950012,427.899994,402.000000,418.950012,418.313263,33431643
2020-04-15,434.000000,451.649994,412.450012,417.299988,416.665741,48315019
2020-04-16,408.600006,427.000000,400.700012,422.549988,421.907776,42344330
2020-04-17,450.000000,485.899994,432.399994,478.799988,478.072266,47831797
2020-04-20,482.000000,483.450012,451.250000,455.950012,455.257019,42163627
2020-04-21,436.000000,439.950012,412.950012,420.649994,420.010651,33572119
2020-04-22,418.549988,434.549988,412.000000,431.149994,430.494720,36619611
2020-04-23,434.600006,439.850006,426.049988,430.049988,429.396362,29418000
2020-04-24,416.000000,419.649994,401.250000,403.950012,403.336060,35773252
2020-04-27,415.000000,429.500000,409.100006,427.299988,426.650543,35986805
2020-04-28,438.000000,458.399994,435.250000,455.450012,454.757782,43938246
2020-04-29,430.750000,448.850006,425.950012,439.100006,438.432648,61499689
2020-04-30,451.000000,461.899994,440.399994,444.899994,444.223816,40382553
2020-05-04,424.000000,424.000000,399.700012,402.799988,402.187775,37853978
2020-05-05,414.000000,418.750000,386.500000,389.000000,388.408783,50981056
2020-05-06,385.000000,394.450012,368.049988,388.850006,388.259003,67511628
2020-05-07,387.000000,402.250000,382.700012,397.350006,396.746094,41339309
2020-05-08,403.500000,409.450012,379.649994,382.049988,381.469330,33505509
2020-05-11,391.000000,393.500000,376.850006,379.549988,378.973114,30141935
2020-05-12,376.299988,391.799988,370.000000,386.850006,386.262054,38411107
2020-05-13,411.000000,416.450012,399.600006,414.000000,413.370789,48206058
2020-05-14,405.049988,411.000000,397.649994,401.950012,401.339111,31604212
